sentence,dialect,classification,confidence
"صوت النجر بالدار بيفرح القلب، انطح فالك يا محمود فوت اشرب فنجان الكيف.",karaki,positive,high
"الصيد بالوعر بده هداوة بال، اللي بيستعجل بيطلع غشيم وغلاّط وبيرجع عالدار وايده فاضية.",karaki,negative,medium
"احرص وأنت بتضرب العصاي عالغصن، لا تتوهرف وتكسر الشجرة لسا بتنمو.",karaki,neutral,medium
"هالزيت خاثر وريحته بتدل على جودتو، بيسوى مية تنكة من المغشوش.",karaki,positive,high
"صاحب المعصرة طلع ثقيل دم لدن، أخرنا عالفاضي.",karaki,negative,high
"هاتوا الفاس خلينا نكسر الحطب، البرد قارس والمربعانية دخلت.",karaki,neutral,high
"عشي الضوء جوا الغرفة، وخلينا نقعد عالنار نتدفى.",karaki,neutral,medium
"السقف بيكلف مي، جيب سطل حطه تحته بلاش البلاط يغرق.",karaki,neutral,low
"المعلم اللي صلح السطح فكاك النشب، شغله خاثر وما خلى ولا نقطة تنزل.",karaki,positive,high
"الحلال سرح من الفجر، بده رجل جمل المحامل يتبعه بالجبال.",karaki,positive,high
دير بالك تدقس بالصخر وأنت بتركض ورا الغنم.,karaki,neutral,medium
"الكلب مسعور، انفهق غاد عنه بلاش يعضك.",karaki,negative,high
"الراعي هداك غشيم وغلاّط، ضيع نص القطيع بالوعر.",karaki,negative,low
"العجين خمر وفار، هات الطحين خلينا نبلش شغل.",karaki,neutral,high
"الحجة شمرة ومدبرة، خبزها عالصاج بيفتح النفس.",karaki,positive,high
"لا تتوهرف وتحرق الرغيف، النار حامية وبتحرقه.",karaki,neutral,medium
"الخبزات جهزن والريحة بتجنن، أفلحوا عالفطور يا خوان.",karaki,positive,high
"المرة هذيك سمطة ولقاقة، بتنقل الحكي بين العيلات.",karaki,negative,high
"انطم ولا تجيب سيرة الناس بالباطل، عيب عليك.",karaki,negative,medium
"فلان هزهاز أبو الوجوه، بيضحك بوجهك ومن وراك بيطعن.",karaki,negative,high
"الزلمة هداك بيسوى مية رجل، كلمته سيف وما بيلف وبيدور.",karaki,positive,high
"كبير العيلة قعد عالمنصة، لدوا على يا خوان واسمعوا الشور.",karaki,neutral,high
"الطوشة كبرت، بس الجاهة فيها زلام فكاكة نشب بيحلوا الأمور.",karaki,positive,high
"صن وخليهم يحكوا، الأكبر منك بيعرفو يتصرفو.",karaki,negative,medium
"الحق بين وما بده اثنين يحكوا فيه، واللي بيغلط بيتحمل.",karaki,neutral,low
"اللحم ذاب عالنار والمرقة بتعدل الراس، شغل نظيف.",karaki,positive,high
لا تصير فجعان بطيني وتمد إيدك قبل الضيوف.,karaki,negative,high
"يا هلا باللي جانا، انطح فالك البيت بيتك والمطرح بيوسعك.",karaki,positive,high
"الولد حرارته مرتفعة، اغلوله شوية شيح بلكي بيطيب.",karaki,neutral,high
"العطار هداك رجل زقرت، خلطته من احلى الروائح.",karaki,positive,high
"لا تتوهرف وتعطيه أي اشي، الكلاب ما بكلو كل اشي في أشياء بتضرهم.",karaki,negative,low
"الباب بيطلع صوت مزعج، بده تزييت عالسريع.",karaki,neutral,low
"سكر الشباك منيح، الهوا بيلف بالغرفة وبارد.",karaki,neutral,high
"عشي الضوء برا، الحوش مبين زي النهار وما في داعي نصرف كهربا.",karaki,neutral,high
"هالثوب مفصل صح، ومبين إنه شغل ناس بتفهم.",karaki,positive,low
"شوفو يا بنات، شوفوا هالتطريزة قديش مرتبة بتجنن.",karaki,positive,high
"لا تتوهرف وتمشي بين الشجر بالليل، العتمة بتضيعك.",karaki,neutral,medium
"الماتور طلع مضروب مبدل، بده تغيير كامل وتصليحه غالي.",karaki,negative,high
"هص العيل خليه ينام، كفانا دوشة اليوم ووجع راس.",karaki,negative,medium
"صن بالعيادة، الناس تعبانة ومش ناقصها صوت عالي.",karaki,negative,medium
,,,
,,,
,,,
,,,
