الجملة,المعنى,Confidence,التصنيف
"زتّها غاد ولا تسأل عنها، خربانة وما منها فايدة.","ارمها هناك ولا تكترث لها، إنها متعطلة ولا فائدة منها.",High,Negative
"اقعد محلك ولا تتحرك، خليك عاقل بلاش اضربك.","اجلس مكانك ولا تتحرك ، كن هادئاً كي لا أضربك.",High,Negative
"شايفتك اليوم تعبان ومهموم، احكيلي شو مالك.","أراك اليوم متعباً وتحمل هماً، أخبرني ما بك.",High,Negative
ترا عارفين البير وغطاه كله.,نحن نعرف كل الأسرار والخبايا.,High,neutral
بديش اشوف رقعتك بالدار.,لا أريد أن أرى وجهك في هذا المنزل.,High,Negative
"يا ولد لا تظل تحوس بالدار، اقعد بمكانك دوختني.","يا ولد لا تستمر بالحركة بكثرة في المنزل، اجلس في مكانك لقد أصبتني بالدوار.",High,neutral
"الزلمة معلل لابنه اليوم، والدار مليانة معازيب.","الرجل يقيم سهرة لابنه اليوم، والمنزل ممتلئ بالضيوف.",High,positive
"هالولد هامل وما بستحي، الله يعين اهله على بلوتهم.","هذا الولد سيء السلوك ولا يخجل، أعان الله أهله على مصيبتهم.",High,Negative
فك ريقك بلقمة لبنة قبل ما تطلع ع شغلك من الصبح.,تناول شيئاً بسيطاً كقطعة جبن لتكسر جوعك قبل الذهاب لعملك صباحاً.,High,neutral
"لا تتشكون وتظل تعيد وتزيد، توكل ع الله والرزق عليه.","لا تكثر الشكوى وتستمر في التكرار، توكل على الله فالرزق بيده.",High,neutral
ملخوم مش عارف شو اساوي بهالمصيبة اللي طبت فوق راسي.,مرتبك ولا أعرف ماذا أفعل في هذه المصيبة التي حلت بي.,High,Negative
ولعت معه لما سمع السولافة,غضب بشدة عندما سمع القصة,High,Negative
"اجبر بخاطره بكلمتين، الزلمة مكسور وحزين على ولده.","واسِه ببعض الكلمات الطيبة، الرجل حزين ومنكسر على ابنه.",Medium,positive
"حُكّ قاع الطنجرة مليح، الاكل شاط ولزق بيها.","اكشط قاع القدر جيداً، الطعام احترق والتصق به.",High,neutral
لمّ الغسيل ناشف عن الحبل قبل ما تعج الدنيا غبرة.,اجمع الملابس وهي جافة عن الحبل قبل أن يمتلئ الجو بالغبار.,Medium,neutral
"هات الملاقط ننشر الغسيلات عالسطح، الجو دافي وبجنن.","أحضر مشابك الغسيل لنعلق الملابس على السطح، الجو دافئ ورائع.",High,neutral
"دقرت معي وبديش اروح، مهما حاولتوا تقنعوني وتلِحّوا.","تعندت الأمور معي ولا أريد الذهاب، مهما حاولتم إقناعي والإلحاح علي.",High,Negative
"طابق وانكشف للكل، ما ظل فيها مخبا يا زلمة.","مؤامرة ودُبرت بليل وانكشفت للجميع، لم يعد هناك أسرار يا رجل.",Medium,Negative
الزلمة ملبّك مش عارف يحكي كلمتين على بعض قدام الناس.,الرجل مرتبك ولا يستطيع نطق كلمتين متتاليتين أمام الناس.,Medium,Negative
"عينه قوية وبكابر، مع انه هو اللي خرب الدنيا.","وقح ويكابر، رغم أنه هو من أفسد الأمور.",Medium,Negative
خبّرني شو اللي صار بغيابي امبارح.,أخبرني عما حدث في غيابي البارحة.,Medium,neutral
"فورت دمي بتصرفاتها، ما بتستحي على دمها بالمرة.","أغضبتني بشدة بتصرفاتها، إنها لا تخجل أبداً.",High,Negative
"شرق بالمي وهو يشرب، دقوله على ظهره تايتنفس.","اختنق بالماء أثناء الشرب، اضربوا على ظهره ليتمكن من التنفس.",Medium,Negative
جبّص إيده بعد ما طاح عن الدرج وانكسرت.,وضع جبيرة على يده بعد أن سقط بقوة من السلالم وكُسرت.,Medium,Negative
"بيعرج عرج من وجع رجله، بده عكازة يسند عليها وهو ماشي.","يمشي بصعوبة من ألم في ساقه، يحتاج لعصا يعتمد عليها أثناء المشي.",Low,Negative
وين طاشش من الصبح؟,أين تتسكع منذ الصباح؟,Medium,neutral
"لا تظلكيش تلعلعي وتصيحي، فضحتونا قدام الجيران.","لا تستمري بالصراخ والثرثرة، لقد فضحتمونا أمام الجيران.",High,Negative
شو هالهيصة والزعبرة بالدار؟ كنكم متهاوشين ؟,ما هذه الفوضى والصراخ في المنزل؟ هل أنتم متشاجرون؟,Medium,Negative
قوم حرّك حالك لا تضل متسمّر محلك زي الصنم ,انهض وتحرك لا تبقَ ثابتاً في مكانك كالتمثال,Medium,neutral
انزل عالحوش لملم الغسيلات قبل ما تندي وتتبلل بالليل.,انزل إلى الفناء واجمع الملابس قبل أن يصيبها الندى وتتبلل ليلاً.,Medium,neutral
"خلص عاد لا تمُطها، السالفة مش مستاهلة كل هاظ اللعي.","يكفي لا تطل في الموضوع، الأمر لا يستحق كل هذه الثرثرة.",Medium,Negative
يا بَييه قد ما رغيت! راسي صار قد الطبل من سواليفك.,يا إلهي كم ثرثرت! رأسي انتفخ من الصداع من كثرة قصصك.,High,Negative
"والله طالع طقع اليوم، اللبسة هاي بتجنن عليك ولايقة.","تبدو بأبهى حلة اليوم، هذه الملابس رائعة ومناسبة لك.",Medium,positive
"تظلكاش تراجع فيني على كل كلمة، خليني اكمل حتشي.","لا تستمر بمجادلتي على كل كلمة، دعني أكمل كلامي.",High,Negative
"لا تطيح عن الدرج وانته مستعجل، دير بالك لتتزحلق.","لا تسقط عن السلالم وأنت مسرع، احذر أن تنزلق.",High,neutral
"نادي ع خوالك جاي يتغدوا، الاكل صار جاهز ","نادِ أخوالك إلى هنا ليتناولوا الغداء، الطعام جاهز",High,neutral
امسكها مليح لا تُمزط من ايدك وتكسرها عالبلاط وتخربها.,أمسكها جيداً كي لا تنزلق من يدك وتتحطم على البلاط وتتلف.,High,neutral
والله انه ازعر وبدور عالمشاكل دوارة بالحارة مش مخلي حدا.,أقسم أنه مشاغب ويبحث عن المشاكل باستمرار في الحي لم يترك أحداً.,Medium,Negative
طاحت تحت الطاولة دور عليها غاد بلكي لقيتها واقعة.,"سقطت تحت الطاولة، ابحث عنها هناك لعلك تجدها ساقطة.",High,neutral
"تظلكيش تبربر عالفاضي، ما حدا سامعك اصلا ولا معبرك.","لا تستمري بالثرثرة المزعجة، لا أحد يستمع إليكِ أصلاً ولا يكترث لكِ.",Medium,Negative
سقا الله اتخرّج واخلص من هالهم والتعب اللي انا فيه من سنين.,يا ليتني أتخرج قريباً وأتخلص من هذا الهم والتعب الذي أعيشه منذ سنين.,High,neutral
"قاعد بفحّط بالسيارة زي المجنون، بده يذبحنا وراه.","يقوم بالاستعراض بالسيارة كالمجنون، يريد قتلنا خلفه.",Medium,Negative
"قبّعت معي من تصرفاته الهاملة، مش قادر اتحمله اكثر.","نفد صبري من تصرفاته السيئة، لا أستطيع تحمله أكثر.",High,Negative
"خلص ملّقت وزادت عن حدها، السولافة بطلت تضحك بالمرة.","يكفي لقد أصبحت سخيفة وتجاوزت الحد، القصة لم تعد مضحكة إطلاقاً.",Medium,Negative
"جَخّة والله هالسيارة الجديدة، تتهنى بيها يا رب ويسعدك.","شيء رائع جداً هذه السيارة الجديدة، تتهنى بها يا رب ويسعدك.",High,positive
"لا تظلكيش تهبد وتألف حكي من عندك، احكي الصحيح وبس.","لا تستمري في التحدث بهراء واختلاق كلام، قولي الحقيقة فقط.",Medium,Negative
"تعال نروح نتروّح عالدار، الجو صار عتمة وبرد ","تعال لنعود إلى المنزل، الجو أصبح مظلماً وشديد البرودة.",High,neutral
هسع ظاقت عينك عَهالشغلة بس شفتها معي ؟,الآن طمعت في هذا الشيء فقط عندما رأيته معي؟,High,neutral
"ترا هو سرسري مش هيّن، لا تأمنله على اشي بالمرة.","للعلم هو محتال وليس سهلاً، لا تأتمنه على شيء أبداً.",High,Negative
"لد شوف هذا الإجقم شو عامل بالسيارة، طعجها طعج وراح.","انظر ماذا فعل هذا المتعجرف بالسيارة، صدمها بشدة وهرب.",High,Negative
"ترا مقبعة معي من الصبح، لا تخليني افش غلي بيك هسه.","للعلم أنا غاضب جداً منذ الصباح، لا تجعلني أفرغ غضبي بك الآن.",High,Negative
"لِِز ل غاد خليني اقعد جنبك، الكرسي وسيع بكفينا احنا الاثنين.","ابتعد إلى هناك لأجلس بجانبك، الكرسي يتسع لنا نحن الاثنان.",High,neutral
سيبك منه هاظ ﺗِﻨﺢ وما بفهم السولافة من اول مرة,"دعه، إن هذا الشخص عنيد ولا يفهم القصة",Medium,Negative
"بتهبل قاعد ومسوي حاله مش عارف القصة، وهو اللي مخرب الدنيا.","يتظاهر بالغباء ويدّعي أنه لا يعرف القصة، وهو من أفسد كل شيء.",Medium,Negative
"بيّاع حكي وما بطلع بيده اشي وقت الجد، بس شاطر يسولف.","شخص يكثر الكلام ولكن لا يفعل شيئاً وقت الجد، بارع في الثرثرة فقط.",Medium,Negative
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
